countryiso3code,year,male_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
CZE,2023,2.203,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2022,1.788,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2021,2.308,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2020,2.23,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2019,1.724,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2018,1.794,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2017,2.341,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2016,3.379,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2015,4.233,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2014,5.1,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2013,5.904,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2012,6.025,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2011,5.799,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2010,6.381,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2009,5.846,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2008,3.46,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2007,4.22,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2006,5.811,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2005,6.459,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2004,7.028,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2003,6.108,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2002,5.901,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2001,6.739,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
CZE,2000,7.33,,,1,SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",CZ,Czechia
