countryiso3code,year,total_unemployment_rate,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country
EUU,2023,6.02506580748964,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2022,6.14423464736459,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2021,7.0141845372126,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2020,7.05350210339032,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2019,6.68857556375924,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2018,7.25592359475734,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2017,8.13407491332889,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2016,9.10766131721785,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2015,10.018398713185,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2014,10.8266686494913,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2013,11.3499080660671,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2012,10.8752261644437,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2011,9.92759950838198,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2010,9.8727209377786,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2009,9.21098128007764,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2008,7.24140110289056,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2007,7.50180506167496,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2006,8.68652334151983,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2005,9.6314812794868,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2004,9.85574243526537,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2003,9.70354629905559,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2002,9.56474012915663,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2001,9.21023289249237,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
EUU,2000,9.70649119804801,,,1,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",EU,European Union
