country,year,unemployment_rate_advanced_education_female
Czechia,2023,1.74
Czechia,2022,0.958
Czechia,2021,1.44
Czechia,2020,1.637
Czechia,2019,1.138
Czechia,2018,1.434
Czechia,2017,1.797
Czechia,2016,2.337
Czechia,2015,2.774
Czechia,2014,3.367
Czechia,2013,4.004
Czechia,2012,3.621
Czechia,2011,4.456
Czechia,2010,4.8
Czechia,2009,4.605
Czechia,2008,2.057
Czechia,2007,2.032
Czechia,2006,4.598
Czechia,2005,4.005
Czechia,2004,3.104
Czechia,2003,4.998
Czechia,2002,3.958
Czechia,2001,5.594
Czechia,2000,7.898
