country,year,female_unemployment_rate
European Union,2023,6.33698245173923
European Union,2022,6.49084656091739
European Union,2021,7.33787662319405
European Union,2020,7.35818508215304
European Union,2019,7.01398451031573
European Union,2018,7.56182365619411
European Union,2017,8.43341459091594
European Union,2016,9.36685256490371
European Union,2015,10.1773047674126
European Union,2014,11.0262460269669
European Union,2013,11.4793403267035
European Union,2012,11.0616880647261
European Union,2011,10.1703607503217
European Union,2010,10.0339555604425
European Union,2009,9.38515098130031
European Union,2008,7.96618822756457
European Union,2007,8.38349881093817
European Union,2006,9.70315512080202
European Union,2005,10.6678461064464
European Union,2004,10.7817994429709
European Union,2003,10.7068574753411
European Union,2002,10.7261032633986
European Union,2001,10.5725764238558
European Union,2000,11.3795422917442
