country,year,male_unemployment_rate
European Union,2023,5.75543989859888
European Union,2022,5.84655490893154
European Union,2021,6.73707960590282
European Union,2020,6.79509424574278
European Union,2019,6.41212523200771
European Union,2018,6.99637438478521
European Union,2017,7.88029694145074
European Union,2016,8.88849420812643
European Union,2015,9.88435630716477
European Union,2014,10.6580230109819
European Union,2013,11.2410090073683
European Union,2012,10.718873910461
European Union,2011,9.72535190596307
European Union,2010,9.73941061937593
European Union,2009,9.06802632616015
European Union,2008,6.65261974422554
European Union,2007,6.78869836107603
European Union,2006,7.86867172708643
European Union,2005,8.80379543243094
European Union,2004,9.12059885862769
European Union,2003,8.91132953427
European Union,2002,8.65694597357891
European Union,2001,8.15346653845715
European Union,2000,8.41459218773428
