country,year,total_unemployment_rate
European Union,2023,6.02506580748964
European Union,2022,6.14423464736459
European Union,2021,7.0141845372126
European Union,2020,7.05350210339032
European Union,2019,6.68857556375924
European Union,2018,7.25592359475734
European Union,2017,8.13407491332889
European Union,2016,9.10766131721785
European Union,2015,10.018398713185
European Union,2014,10.8266686494913
European Union,2013,11.3499080660671
European Union,2012,10.8752261644437
European Union,2011,9.92759950838198
European Union,2010,9.8727209377786
European Union,2009,9.21098128007764
European Union,2008,7.24140110289056
European Union,2007,7.50180506167496
European Union,2006,8.68652334151983
European Union,2005,9.6314812794868
European Union,2004,9.85574243526537
European Union,2003,9.70354629905559
European Union,2002,9.56474012915663
European Union,2001,9.21023289249237
European Union,2000,9.70649119804801
