country,year,unemployment_rate_basic_education_female
European Union,2023,15.0275268371311
European Union,2022,16.0355703059122
European Union,2021,17.2929126025161
European Union,2020,16.8731295637036
European Union,2019,16.6192561843741
European Union,2018,17.518848510028
European Union,2017,18.6786679137589
European Union,2016,19.9643121584719
European Union,2015,20.7332694021621
European Union,2014,22.2608130067506
European Union,2013,22.9824866459278
European Union,2012,21.7004049401817
European Union,2011,19.1417597563728
European Union,2010,18.2768092856364
European Union,2009,16.819625089201
European Union,2008,13.6047916294216
European Union,2007,14.03333103778
European Union,2006,16.3613286219841
European Union,2005,17.3885684949511
European Union,2004,17.437890673018
European Union,2003,17.1669242253949
European Union,2002,17.1470785041782
European Union,2001,16.9526283460324
European Union,2000,17.3030298436877
