country,year,unemployment_rate_basic_education_male
European Union,2023,11.8274057784391
European Union,2022,12.0235286677652
European Union,2021,13.5402266899912
European Union,2020,13.3527822467817
European Union,2019,13.1567682390482
European Union,2018,14.1403014319373
European Union,2017,15.7229498116739
European Union,2016,17.4025100438632
European Union,2015,19.0539883299083
European Union,2014,21.0250273367963
European Union,2013,22.2593217466704
European Union,2012,21.6010789025368
European Union,2011,19.4619239372443
European Union,2010,18.8623523783525
European Union,2009,17.3114895724225
European Union,2008,12.7321626294436
European Union,2007,13.3459946115356
European Union,2006,15.269551295923
European Union,2005,16.899430633195
European Union,2004,17.0646564531838
European Union,2003,16.5611337611998
European Union,2002,16.2379426161436
European Union,2001,15.5030274452593
European Union,2000,14.4518440551264
