country,year,youth_female_unemployment_rate
European Union,2023,16.0881771928191
European Union,2022,16.6585069009954
European Union,2021,19.4043479400555
European Union,2020,19.6223321333379
European Union,2019,17.106184765506
European Union,2018,18.0912280608474
European Union,2017,20.1243418057511
European Union,2016,22.5593768139838
European Union,2015,24.2257255453328
European Union,2014,26.1709427439483
European Union,2013,27.2271670617345
European Union,2012,26.1920697367609
European Union,2011,24.132200646587
European Union,2010,22.8706634148371
European Union,2009,21.1043498432748
European Union,2008,17.8838832320098
European Union,2007,18.2154410471463
European Union,2006,20.9196228008493
European Union,2005,22.3604226314616
European Union,2004,22.0731084989849
European Union,2003,21.9168875370126
European Union,2002,22.2241827048319
European Union,2001,21.5543675461262
European Union,2000,22.2840623945854
